('sextoco01', 'rubiori01', ' makes 2-pt layup from 2 ft ', '202110200MEM', '2:54.0')
('sextoco01', 'osmande01', ' makes 2-pt layup from 1 ft ', '202110200MEM', '2:14.0')
('anderky01', 'jonesty01', ' makes 3-pt jump shot from 23 ft ', '202110200MEM', '1:57.0')
('osmande01', 'rubiori01', ' makes 3-pt jump shot from 26 ft ', '202110200MEM', '1:12.0')
('osmande01', 'rubiori01', ' makes 3-pt jump shot from 25 ft ', '202110200MEM', '0:51.0')
('jacksja02', 'jonesty01', ' makes 3-pt jump shot from 23 ft ', '202110200MEM', '11:50.0')
('osmande01', 'mobleev01', ' makes 2-pt jump shot from 18 ft ', '202110200MEM', '11:33.0')
('mobleev01', 'garlada01', ' makes 2-pt dunk from 1 ft ', '202110200MEM', '10:45.0')
('jacksja02', 'meltode01', ' makes 3-pt jump shot from 25 ft ', '202110200MEM', '10:22.0')
('meltode01', 'clarkbr01', ' makes 3-pt jump shot from 26 ft ', '202110200MEM', '9:37.0')
('adamsst01', 'jonesty01', ' makes 2-pt dunk from 1 ft ', '202110200MEM', '8:07.0')
('rubiori01', 'okorois01', ' makes 3-pt jump shot from 27 ft ', '202110200MEM', '6:09.0')
('clarkbr01', 'banede01', ' makes 2-pt layup from 1 ft ', '202110200MEM', '5:58.0')
('allenja01', 'rubiori01', ' makes 2-pt layup from 1 ft ', '202110200MEM', '5:42.0')
('okorois01', 'rubiori01', ' makes 2-pt layup from 1 ft ', '202110200MEM', '5:03.0')
('banede01', 'adamsst01', ' makes 2-pt layup from 1 ft ', '202110200MEM', '3:56.0')
('moranja01', 'banede01', ' makes 2-pt dunk from 1 ft ', '202110200MEM', '3:11.0')
('loveke01', 'rubiori01', ' makes 2-pt jump shot from 19 ft ', '202110200MEM', '2:50.0')
('allenja01', 'mobleev01', ' makes 2-pt hook shot from 6 ft ', '202110200MEM', '1:23.0')
('allenja01', 'garlada01', ' makes 2-pt dunk from 1 ft ', '202110200MEM', '1:00.0')
('sextoco01', 'markkla01', ' makes 2-pt layup from 1 ft ', '202110200MEM', '0:42.0')
('moranja01', 'banede01', ' makes 2-pt layup from 2 ft ', '202110200MEM', '0:35.0')
('banede01', 'moranja01', ' makes 3-pt jump shot from 23 ft ', '202110200MEM', '0:08.0')
('markkla01', 'garlada01', ' makes 3-pt jump shot from 29 ft ', '202110200MEM', '10:57.0')
('sextoco01', 'garlada01', ' makes 3-pt jump shot from 27 ft ', '202110200MEM', '10:39.0')
('markkla01', 'allenja01', ' makes 2-pt jump shot from 7 ft ', '202110200MEM', '9:05.0')
('adamsst01', 'moranja01', ' makes 2-pt dunk at rim ', '202110200MEM', '8:14.0')
('allenja01', 'mobleev01', ' makes 2-pt jump shot from 15 ft ', '202110200MEM', '7:31.0')
('moranja01', 'meltode01', ' makes 2-pt dunk at rim ', '202110200MEM', '6:27.0')
('allenja01', 'garlada01', ' makes 2-pt dunk from 1 ft ', '202110200MEM', '6:13.0')
('okorois01', 'loveke01', ' makes 2-pt layup from 1 ft ', '202110200MEM', '5:38.0')
('okorois01', 'rubiori01', ' makes 2-pt layup from 6 ft ', '202110200MEM', '4:07.0')
('anderky01', 'moranja01', ' makes 3-pt jump shot from 26 ft ', '202110200MEM', '3:15.0')
('mobleev01', 'loveke01', ' makes 3-pt jump shot from 23 ft ', '202110200MEM', '2:56.0')
('mobleev01', 'rubiori01', ' makes 2-pt dunk at rim ', '202110200MEM', '1:08.0')
('jacksja02', 'meltode01', ' makes 3-pt jump shot from 25 ft ', '202110200MEM', '11:38.0')
('clarkbr01', 'jacksja02', ' makes 2-pt dunk at rim ', '202110200MEM', '11:14.0')
('meltode01', 'jonesty01', ' makes 2-pt layup at rim ', '202110200MEM', '11:00.0')
('willizi02', 'jonesty01', ' makes 3-pt jump shot from 24 ft ', '202110200MEM', '10:19.0')
('allenja01', 'garlada01', ' makes 2-pt hook shot from 2 ft ', '202110200MEM', '9:39.0')
('jonesty01', 'willizi02', ' makes 2-pt layup from 1 ft ', '202110200MEM', '9:27.0')
('garlada01', 'mobleev01', ' makes 2-pt jump shot from 12 ft ', '202110200MEM', '8:11.0')
('mobleev01', 'garlada01', ' makes 2-pt layup from 1 ft ', '202110200MEM', '7:20.0')
('adamsst01', 'anderky01', ' makes 2-pt dunk from 1 ft ', '202110200MEM', '7:00.0')
('konchjo01', 'anderky01', ' makes 2-pt layup from 1 ft ', '202110200MEM', '6:33.0')
('banede01', 'anderky01', ' makes 2-pt jump shot from 2 ft ', '202110200MEM', '5:54.0')
('allenja01', 'mobleev01', ' makes 2-pt dunk from 1 ft ', '202110200MEM', '5:39.0')
('garlada01', 'mobleev01', ' makes 3-pt jump shot from 26 ft ', '202110200MEM', '5:04.0')
('meltode01', 'jacksja02', ' makes 3-pt jump shot from 23 ft ', '202110200MEM', '3:25.0')
('markkla01', 'rubiori01', ' makes 3-pt jump shot from 27 ft ', '202110200MEM', '3:08.0')
('sextoco01', 'garlada01', ' makes 3-pt jump shot from 25 ft ', '202110200MEM', '2:33.0')
('mobleev01', 'garlada01', ' makes 2-pt jump shot from 7 ft ', '202110200MEM', '1:53.0')
('meltode01', 'moranja01', ' makes 2-pt layup at rim ', '202110200MEM', '1:18.0')
('rubiori01', 'garlada01', ' makes 3-pt jump shot from 26 ft ', '202110200MEM', '0:19.0')
('ballla01', 'roziete01', ' makes 2-pt layup from 2 ft ', '202110220CLE', '11:34.0')
('plumlma01', 'haywago01', ' makes 2-pt layup at rim ', '202110220CLE', '10:42.0')
('rubiori01', 'allenja01', ' makes 3-pt jump shot from 26 ft ', '202110220CLE', '10:21.0')
('sextoco01', 'mobleev01', ' makes 2-pt jump shot from 10 ft ', '202110220CLE', '9:46.0')
('markkla01', 'allenja01', ' makes 3-pt jump shot from 23 ft ', '202110220CLE', '9:19.0')
('allenja01', 'rubiori01', ' makes 2-pt layup from 1 ft ', '202110220CLE', '8:20.0')
('plumlma01', 'ballla01', ' makes 2-pt layup from 1 ft ', '202110220CLE', '8:05.0')
('sextoco01', 'rubiori01', ' makes 2-pt layup from 3 ft ', '202110220CLE', '7:09.0')
('ballla01', 'haywago01', ' makes 3-pt jump shot from 25 ft ', '202110220CLE', '6:14.0')
('okorois01', 'loveke01', ' makes 2-pt layup at rim ', '202110220CLE', '5:55.0')
('oubreke01', 'smithis01', ' makes 3-pt jump shot from 25 ft ', '202110220CLE', '5:02.0')
('washipj01', 'oubreke01', ' makes 2-pt dunk from 1 ft ', '202110220CLE', '3:42.0')
('oubreke01', 'haywago01', ' makes 3-pt jump shot from 25 ft ', '202110220CLE', '2:55.0')
('oubreke01', 'smithis01', ' makes 2-pt jump shot from 21 ft ', '202110220CLE', '1:24.0')
('osmande01', 'loveke01', ' makes 2-pt jump shot from 9 ft ', '202110220CLE', '1:02.0')
('okorois01', 'loveke01', ' makes 2-pt layup from 1 ft ', '202110220CLE', '0:03.0')
('sextoco01', 'rubiori01', ' makes 2-pt layup from 1 ft ', '202110220CLE', '11:40.0')
('bridgmi02', 'ballla01', ' makes 2-pt dunk at rim ', '202110220CLE', '11:32.0')
('markkla01', 'rubiori01', ' makes 2-pt jump shot from 16 ft ', '202110220CLE', '11:22.0')
('sextoco01', 'markkla01', ' makes 3-pt jump shot from 26 ft ', '202110220CLE', '11:06.0')
