('willike04', 'bazleda01', ' makes 3-pt jump shot from 27 ft ', '202102030OKC', '1:24.0')
('willike04', 'muscami01', ' makes 2-pt layup from 3 ft ', '202102030OKC', '0:32.0')
('robyis01', 'muscami01', ' makes 2-pt hook shot from 3 ft ', '202102030OKC', '11:47.0')
('houseda01', 'gordoer01', ' makes 2-pt layup from 2 ft ', '202102030OKC', '10:50.0')
('willike04', 'robyis01', ' makes 3-pt jump shot from 23 ft ', '202102030OKC', '10:00.0')
('muscami01', 'willike04', ' makes 3-pt jump shot from 24 ft ', '202102030OKC', '7:21.0')
('maledth01', 'horfoal01', ' makes 3-pt jump shot from 25 ft ', '202102030OKC', '3:48.0')
('gordoer01', 'oladivi01', ' makes 2-pt layup from 2 ft ', '202102030OKC', '2:48.0')
('gordoer01', 'oladivi01', ' makes 3-pt jump shot from 26 ft ', '202102030OKC', '2:17.0')
('couside01', 'tuckepj01', ' makes 3-pt jump shot from 25 ft ', '202102030OKC', '0:24.0')
('tateja01', 'gordoer01', ' makes 2-pt layup from 5 ft ', '202102030OKC', '11:11.0')
('jacksju01', 'horfoal01', ' makes 2-pt layup from 3 ft ', '202102030OKC', '10:45.0')
('oladivi01', 'woodch01', ' makes 2-pt jump shot from 4 ft ', '202102030OKC', '9:16.0')
('bazleda01', 'jacksju01', ' makes 2-pt layup from 3 ft ', '202102030OKC', '7:27.0')
('bazleda01', 'horfoal01', ' makes 2-pt dunk at rim ', '202102030OKC', '6:53.0')
('gordoer01', 'houseda01', ' makes 2-pt layup from 3 ft ', '202102030OKC', '5:05.0')
('brownst02', 'houseda01', ' makes 2-pt layup from 4 ft ', '202102030OKC', '11:21.0')
('muscami01', 'willike04', ' makes 3-pt jump shot from 23 ft ', '202102030OKC', '11:00.0')
('brownst02', 'houseda01', ' makes 3-pt jump shot from 23 ft ', '202102030OKC', '9:31.0')
('oladivi01', 'brownst02', ' makes 3-pt jump shot from 25 ft ', '202102030OKC', '6:50.0')
('willike04', 'maledth01', ' makes 3-pt jump shot from 23 ft ', '202102030OKC', '6:32.0')
('brownst02', 'couside01', ' makes 3-pt jump shot from 25 ft ', '202102030OKC', '5:19.0')
('jonesma05', 'brownst02', ' makes 2-pt layup from 3 ft ', '202102030OKC', '4:58.0')
('horfoal01', 'jacksju01', ' makes 3-pt jump shot from 25 ft ', '202102030OKC', '4:44.0')
('brownst02', 'jonesma05', ' makes 3-pt jump shot from 26 ft ', '202102030OKC', '3:36.0')
('diallha01', 'maledth01', ' makes 2-pt layup from 2 ft ', '202102030OKC', '3:13.0')
('kurucro01', 'jonesma05', ' makes 3-pt jump shot from 24 ft ', '202102030OKC', '1:15.0')
('couside01', 'kurucro01', ' makes 2-pt dunk at rim ', '202102030OKC', '0:44.0')
('robyis01', 'maledth01', ' makes 2-pt jump shot from 11 ft ', '202103210HOU', '10:23.0')
('woodch01', 'oladivi01', ' makes 2-pt dunk from 1 ft ', '202103210HOU', '8:56.0')
('maledth01', 'dortlu01', ' makes 3-pt jump shot from 25 ft ', '202103210HOU', '8:44.0')
('woodch01', 'houseda01', ' makes 2-pt dunk from 2 ft ', '202103210HOU', '8:04.0')
('dortlu01', 'jeromty01', ' makes 3-pt jump shot from 25 ft ', '202103210HOU', '4:04.0')
('dortlu01', 'robyis01', ' makes 2-pt layup from 1 ft ', '202103210HOU', '3:22.0')
('woodch01', 'walljo01', ' makes 2-pt dunk from 1 ft ', '202103210HOU', '3:14.0')
('robyis01', 'jeromty01', ' makes 2-pt dunk from 2 ft ', '202103210HOU', '2:23.0')
('brownmo01', 'mykhasv01', ' makes 2-pt dunk from 2 ft ', '202103210HOU', '0:51.0')
('jacksju01', 'jeromty01', ' makes 2-pt jump shot from 10 ft ', '202103210HOU', '0:33.0')
('oladivi01', 'porteke02', ' makes 2-pt layup from 2 ft ', '202103210HOU', '11:47.0')
('willike04', 'jacksju01', ' makes 3-pt jump shot from 24 ft ', '202103210HOU', '11:33.0')
('wilsodj01', 'porteke02', ' makes 2-pt jump shot from 19 ft ', '202103210HOU', '11:15.0')
('wilsodj01', 'porteke02', ' makes 3-pt jump shot from 26 ft ', '202103210HOU', '9:49.0')
('jacksju01', 'mykhasv01', ' makes 3-pt jump shot from 23 ft ', '202103210HOU', '9:23.0')
('mykhasv01', 'willike04', ' makes 2-pt layup from 2 ft ', '202103210HOU', '8:08.0')
('tateja01', 'oladivi01', ' makes 3-pt jump shot from 26 ft ', '202103210HOU', '7:57.0')
('woodch01', 'oladivi01', ' makes 3-pt jump shot from 25 ft ', '202103210HOU', '7:22.0')
('oladivi01', 'walljo01', ' makes 3-pt jump shot from 26 ft ', '202103210HOU', '6:50.0')
('oladivi01', 'walljo01', ' makes 3-pt jump shot from 24 ft ', '202103210HOU', '6:22.0')
('mykhasv01', 'robyis01', ' makes 3-pt jump shot from 26 ft ', '202103210HOU', '5:37.0')
('tateja01', 'oladivi01', ' makes 3-pt jump shot from 23 ft ', '202103210HOU', '5:09.0')
('maledth01', 'willike04', ' makes 3-pt jump shot from 25 ft ', '202103210HOU', '3:48.0')
('houseda01', 'walljo01', ' makes 3-pt jump shot from 26 ft ', '202103210HOU', '2:31.0')
('houseda01', 'walljo01', ' makes 3-pt jump shot from 26 ft ', '202103210HOU', '1:58.0')
('dortlu01', 'maledth01', ' makes 3-pt jump shot from 24 ft ', '202103210HOU', '1:12.0')
('oladivi01', 'walljo01', ' makes 2-pt jump shot from 7 ft ', '202103210HOU', '0:24.0')
('woodch01', 'walljo01', ' makes 2-pt dunk from 1 ft ', '202103210HOU', '11:49.0')
('woodch01', 'oladivi01', ' makes 3-pt jump shot from 26 ft ', '202103210HOU', '8:00.0')
('pokusal01', 'dortlu01', ' makes 3-pt jump shot from 26 ft ', '202103210HOU', '7:15.0')
('pokusal01', 'jeromty01', ' makes 3-pt jump shot from 25 ft ', '202103210HOU', '6:01.0')
('robyis01', 'jeromty01', ' makes 2-pt layup from 2 ft ', '202103210HOU', '5:24.0')
('dortlu01', 'pokusal01', ' makes 2-pt layup from 1 ft ', '202103210HOU', '5:04.0')
('walljo01', 'woodch01', ' makes 2-pt layup from 1 ft ', '202103210HOU', '4:51.0')
('houseda01', 'woodch01', ' makes 2-pt dunk from 3 ft ', '202103210HOU', '4:28.0')
('robyis01', 'pokusal01', ' makes 2-pt dunk from 3 ft ', '202103210HOU', '4:12.0')
('oladivi01', 'porteke02', ' makes 2-pt layup from 2 ft ', '202103210HOU', '10:24.0')
('wilsodj01', 'porteke02', ' makes 3-pt jump shot from 26 ft ', '202103210HOU', '9:31.0')
('woodch01', 'houseda01', ' makes 2-pt layup from 1 ft ', '202103210HOU', '8:16.0')
('mykhasv01', 'willike04', ' makes 3-pt jump shot from 24 ft ', '202103210HOU', '6:43.0')
('mykhasv01', 'willike04', ' makes 3-pt jump shot from 24 ft ', '202103210HOU', '4:56.0')
('dortlu01', 'mykhasv01', ' makes 3-pt jump shot from 26 ft ', '202103210HOU', '4:22.0')
('houseda01', 'oladivi01', ' makes 3-pt jump shot from 25 ft ', '202103210HOU', '3:36.0')
('maledth01', 'dortlu01', ' makes 2-pt layup from 3 ft ', '202103210HOU', '1:56.0')
('randlju01', 'fournev01', ' makes 3-pt jump shot from 24 ft ', '202111080PHI', '11:14.0')
('fournev01', 'walkeke02', ' makes 2-pt jump shot from 16 ft ', '202111080PHI', '10:30.0')
('curryse01', 'maxeyty01', ' makes 3-pt jump shot from 27 ft ', '202111080PHI', '9:38.0')
('maxeyty01', 'korkmfu01', ' makes 3-pt jump shot from 25 ft ', '202111080PHI', '7:51.0')
('noelne01', 'barrerj01', ' makes 2-pt layup from 1 ft ', '202111080PHI', '7:32.0')
('drumman01', 'curryse01', ' makes 2-pt layup at rim ', '202111080PHI', '6:19.0')
('korkmfu01', 'greenda02', ' makes 3-pt jump shot from 27 ft ', '202111080PHI', '4:36.0')
('randlju01', 'fournev01', ' makes 2-pt dunk at rim ', '202111080PHI', '3:02.0')
('toppiob01', 'rosede01', ' makes 2-pt layup from 3 ft ', '202111080PHI', '11:20.0')
('niangge01', 'greenda02', ' makes 2-pt jump shot from 10 ft ', '202111080PHI', '11:08.0')
('greenda02', 'reedpa01', ' makes 2-pt layup from 1 ft ', '202111080PHI', '10:12.0')
('quickim01', 'burksal01', ' makes 3-pt jump shot from 26 ft ', '202111080PHI', '8:29.0')
('quickim01', 'toppiob01', ' makes 3-pt jump shot from 26 ft ', '202111080PHI', '6:48.0')
('korkmfu01', 'greenda02', ' makes 3-pt jump shot from 28 ft ', '202111080PHI', '6:22.0')
('randlju01', 'barrerj01', ' makes 2-pt layup from 3 ft ', '202111080PHI', '4:37.0')
('barrerj01', 'randlju01', ' makes 3-pt jump shot from 24 ft ', '202111080PHI', '3:46.0')
('korkmfu01', 'miltosh01', ' makes 3-pt jump shot from 27 ft ', '202111080PHI', '3:29.0')
('walkeke02', 'gibsota01', ' makes 3-pt jump shot from 28 ft ', '202111080PHI', '2:38.0')
('fournev01', 'barrerj01', ' makes 3-pt jump shot from 24 ft ', '202111080PHI', '1:34.0')
('gibsota01', 'randlju01', ' makes 2-pt jump shot from 12 ft ', '202111080PHI', '0:31.0')
('maxeyty01', 'curryse01', ' makes 3-pt jump shot from 25 ft ', '202111080PHI', '0:10.0')
('randlju01', 'walkeke02', ' makes 2-pt jump shot from 13 ft ', '202111080PHI', '10:37.0')
('fournev01', 'walkeke02', ' makes 2-pt jump shot from 5 ft ', '202111080PHI', '8:49.0')
('greenda02', 'drumman01', ' makes 3-pt jump shot from 23 ft ', '202111080PHI', '7:36.0')
('greenda02', 'curryse01', ' makes 3-pt jump shot from 27 ft ', '202111080PHI', '7:01.0')
('barrerj01', 'randlju01', ' makes 2-pt layup from 3 ft ', '202111080PHI', '6:06.0')
